"No.","Time","Source","Destination","Protocol","Length","Info"
"1","2020-08-10 01:39:16.877926","192.168.38.104","192.168.38.105","TCP","54","63631  >  8412 [FIN, ACK] Seq=1 Ack=1 Win=8394 Len=0"
"2","2020-08-10 01:39:16.878306","192.168.38.105","192.168.38.104","TLSv1.2","78","Application Data"
"3","2020-08-10 01:39:16.878356","192.168.38.104","192.168.38.105","TCP","54","63631  >  8412 [RST, ACK] Seq=2 Ack=25 Win=0 Len=0"
"4","2020-08-10 01:39:16.878384","192.168.38.105","192.168.38.104","TCP","54","8412  >  63631 [FIN, ACK] Seq=25 Ack=2 Win=227 Len=0"
"5","2020-08-10 01:39:16.880962","192.168.38.104","192.168.38.105","TCP","66","63633  >  8412 [SYN] Seq=0 Win=62727 Len=0 MSS=8961 WS=256 SACK_PERM=1"
"6","2020-08-10 01:39:16.881274","192.168.38.105","192.168.38.104","TCP","66","8412  >  63633 [SYN, ACK] Seq=0 Ack=1 Win=26883 Len=0 MSS=8961 SACK_PERM=1 WS=128"
"7","2020-08-10 01:39:16.881329","192.168.38.104","192.168.38.105","TCP","54","63633  >  8412 [ACK] Seq=1 Ack=1 Win=2150400 Len=0"
"8","2020-08-10 01:39:16.882300","192.168.38.104","192.168.38.105","TLSv1.3","571","Client Hello"
"9","2020-08-10 01:39:16.882528","192.168.38.105","192.168.38.104","TCP","54","8412  >  63633 [ACK] Seq=1 Ack=518 Win=28032 Len=0"
"10","2020-08-10 01:39:16.885362","192.168.38.105","192.168.38.104","TLSv1.3","1420","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data, Application Data"
"11","2020-08-10 01:39:16.886200","192.168.38.104","192.168.38.105","TLSv1.3","118","Change Cipher Spec, Application Data"
"12","2020-08-10 01:39:16.927304","192.168.38.105","192.168.38.104","TCP","54","8412  >  63633 [ACK] Seq=1367 Ack=582 Win=28032 Len=0"
"13","2020-08-10 01:39:16.927357","192.168.38.104","192.168.38.105","TLSv1.3","495","Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
"14","2020-08-10 01:39:16.927610","192.168.38.105","192.168.38.104","TCP","54","8412  >  63633 [ACK] Seq=1367 Ack=1023 Win=29056 Len=0"
"15","2020-08-10 01:39:16.931043","192.168.38.105","192.168.38.104","TLSv1.3","219","Application Data"
"16","2020-08-10 01:39:16.971230","192.168.38.104","192.168.38.105","TCP","54","63633  >  8412 [ACK] Seq=1023 Ack=1532 Win=2148864 Len=0"
"17","2020-08-10 01:39:18.020090","192.168.38.104","192.168.38.103","TCP","54","63570  >  5985 [FIN, ACK] Seq=1 Ack=1 Win=8212 Len=0"
"18","2020-08-10 01:39:18.020382","192.168.38.104","192.168.38.103","TCP","66","63634  >  5985 [SYN] Seq=0 Win=62727 Len=0 MSS=8961 WS=256 SACK_PERM=1"
"19","2020-08-10 01:39:18.020418","192.168.38.103","192.168.38.104","TCP","54","5985  >  63570 [FIN, ACK] Seq=1 Ack=2 Win=8212 Len=0"
"20","2020-08-10 01:39:18.020450","192.168.38.104","192.168.38.103","TCP","54","63570  >  5985 [ACK] Seq=2 Ack=2 Win=8212 Len=0"
"21","2020-08-10 01:39:18.020567","192.168.38.103","192.168.38.104","TCP","66","5985  >  63634 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"22","2020-08-10 01:39:18.020605","192.168.38.104","192.168.38.103","TCP","54","63634  >  5985 [ACK] Seq=1 Ack=1 Win=262656 Len=0"
"23","2020-08-10 01:39:18.020679","192.168.38.104","192.168.38.103","TCP","390","63634  >  5985 [PSH, ACK] Seq=1 Ack=1 Win=262656 Len=336 [TCP segment of a reassembled PDU]"
"24","2020-08-10 01:39:18.020715","192.168.38.104","192.168.38.103","HTTP","2556","POST /wsman/subscriptions/EB489718-F373-4F7F-8493-B0D1503B3C3E/43 HTTP/1.1 "
"25","2020-08-10 01:39:18.020874","192.168.38.103","192.168.38.104","TCP","54","5985  >  63634 [ACK] Seq=1 Ack=2839 Win=2102272 Len=0"
"26","2020-08-10 01:39:18.020934","192.168.38.103","192.168.38.104","HTTP","273","HTTP/1.1 401  "
"27","2020-08-10 01:39:18.020953","192.168.38.104","192.168.38.103","TCP","54","63634  >  5985 [ACK] Seq=2839 Ack=221 Win=262400 Len=0"
"28","2020-08-10 01:39:18.020976","192.168.38.104","192.168.38.103","TCP","54","63634  >  5985 [FIN, ACK] Seq=2839 Ack=221 Win=262400 Len=0"
"29","2020-08-10 01:39:18.021123","192.168.38.103","192.168.38.104","TCP","54","5985  >  63634 [ACK] Seq=221 Ack=2840 Win=2102272 Len=0"
"30","2020-08-10 01:39:18.021922","192.168.38.104","192.168.38.103","TCP","66","63635  >  5985 [SYN] Seq=0 Win=62727 Len=0 MSS=8961 WS=256 SACK_PERM=1"
"31","2020-08-10 01:39:18.022116","192.168.38.103","192.168.38.104","TCP","66","5985  >  63635 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"32","2020-08-10 01:39:18.022154","192.168.38.104","192.168.38.103","TCP","54","63635  >  5985 [ACK] Seq=1 Ack=1 Win=262656 Len=0"
"33","2020-08-10 01:39:18.022214","192.168.38.104","192.168.38.103","HTTP","2544","POST /wsman/subscriptions/EB489718-F373-4F7F-8493-B0D1503B3C3E/43 HTTP/1.1 "
"34","2020-08-10 01:39:18.022388","192.168.38.103","192.168.38.104","TCP","54","5985  >  63635 [ACK] Seq=1 Ack=2491 Win=2102272 Len=0"
"35","2020-08-10 01:39:18.023101","192.168.38.103","192.168.38.104","HTTP","395","HTTP/1.1 200  "
"36","2020-08-10 01:39:18.023714","192.168.38.104","192.168.38.103","TCP","390","63635  >  5985 [PSH, ACK] Seq=2491 Ack=342 Win=262400 Len=336 [TCP segment of a reassembled PDU]"
"37","2020-08-10 01:39:18.023746","192.168.38.104","192.168.38.103","HTTP","2556","POST /wsman/subscriptions/EB489718-F373-4F7F-8493-B0D1503B3C3E/43 HTTP/1.1 "
"38","2020-08-10 01:39:18.023934","192.168.38.103","192.168.38.104","TCP","54","5985  >  63635 [ACK] Seq=342 Ack=5329 Win=2102272 Len=0"
"39","2020-08-10 01:39:18.024554","192.168.38.103","192.168.38.104","TCP","1514","5985  >  63635 [ACK] Seq=342 Ack=5329 Win=2102272 Len=1460 [TCP segment of a reassembled PDU]"
"40","2020-08-10 01:39:18.024554","192.168.38.103","192.168.38.104","HTTP","553","HTTP/1.1 200   (application/http-kerberos-session-encrypted)"
"41","2020-08-10 01:39:18.024582","192.168.38.104","192.168.38.103","TCP","54","63635  >  5985 [ACK] Seq=5329 Ack=2301 Win=262656 Len=0"
"42","2020-08-10 01:39:18.025504","192.168.38.104","192.168.38.103","TCP","390","63635  >  5985 [PSH, ACK] Seq=5329 Ack=2301 Win=262656 Len=336 [TCP segment of a reassembled PDU]"
